timestamp,value,created_at
1665137708000,53,1665137716488
1665137588000,47,1665137596457
1665137468000,61,1665137477376
1665137348000,55,1665137356508
1665137228000,58,1665137236957
1665137108000,47,1665137116289
1665136988000,45,1665136996970
1665136868000,51,1665136876443
1665136748000,48,1665136757039
1665136628000,69,1665136636761
1665136508000,62,1665136516451
1665136388000,64,1665136396481
1665136268000,48,1665136276587
1665136148000,69,1665136157198
1665136028000,57,1665136036698
1665135908000,61,1665135916491
1665135788000,44,1665135796445
1665135668000,81,1665135677320
1665135548000,52,1665135556331
1665135428000,48,1665135436979
1665135308000,54,1665135316268
1665135188000,50,1665135196393
1665135068000,54,1665135077023
1665134948000,49,1665134956217
1665134828000,52,1665134837025
1665134708000,63,1665134716851
1665134588000,60,1665134596840
1665134468000,42,1665134476896
1665134348000,53,1665134356861
1665134228000,63,1665134237538
1665134108000,71,1665134116885
1665133988000,51,1665133996942
1665133867000,60,1665133877200
1665133747000,65,1665133756399
1665133627000,78,1665133637407
1665133507000,76,1665133516971
1665133387000,68,1665133397182
1665133267000,55,1665133277195
1665133147000,65,1665133156979
1665133027000,70,1665133037852
1665132907000,65,1665132917295
1665132787000,72,1665132796993
1665132667000,73,1665132676205
1665132547000,79,1665132556740
1665132427000,65,1665132437383
1665132307000,64,1665132316788
1665132187000,84,1665132196952
1665132067000,61,1665132077174
1665131947000,75,1665131956786
1665131827000,72,1665131837400
1665131707000,61,1665131717081
1665131587000,72,1665131596822
1665131467000,61,1665131476797
1665131347000,76,1665131356243
1665131227000,89,1665131237461
1665131107000,58,1665131117092
1665130987000,71,1665130997086
1665130867000,67,1665130876739
1665130747000,63,1665130756887
1665130627000,51,1665130637494
1665130507000,68,1665130516790
1665130387000,65,1665130396727
1665130267000,59,1665130277025
1665130147000,53,1665130156694
1665130027000,84,1665130037608
1665129907000,82,1665129916822
1665129787000,49,1665129797035
1665129667000,75,1665129676819
1665129547000,66,1665129557050
1665129427000,84,1665129437227
1665129307000,72,1665129317010
1665129187000,73,1665129196264
1665129067000,88,1665129076705
1665128947000,74,1665128957015
1665128827000,78,1665128836456
1665128707000,63,1665128716737
1665128587000,88,1665128596984
1665128467000,72,1665128476774
1665128347000,72,1665128356814
1665128227000,74,1665128237325
1665128107000,72,1665128116792
1665127987000,71,1665127996705
1665127867000,77,1665127876649
1665127747000,83,1665127756916
1665127627000,95,1665127637156
1665127507000,89,1665127516730
1665127387000,91,1665127396563
1665127267000,76,1665127276647
1665127147000,83,1665127156643
1665127027000,64,1665127037273
1665126907000,91,1665126916738
1665126787000,66,1665126796615
1665126667000,79,1665126676971
1665126547000,65,1665126556996
1665126427000,78,1665126437541
1665126307000,85,1665126316690
1665126187000,81,1665126196929
1665126067000,63,1665126076859
1665125947000,57,1665125956809
1665125827000,64,1665125837451
1665125707000,65,1665125716824
1665125587000,61,1665125596535
1665125467000,64,1665125476553
1665125347000,67,1665125356812
1665125227000,73,1665125237170
1665125107000,77,1665125116818
1665124987000,72,1665124996842
1665124867000,81,1665124876555
1665124747000,68,1665124756560
1665124627000,71,1665124637471
1665124507000,68,1665124516574
1665124387000,71,1665124396823
1665124267000,56,1665124276834
1665124147000,74,1665124156839
1665124027000,63,1665124037157
1665123907000,66,1665123916598
1665123787000,57,1665123796863
1665123667000,67,1665123676521
1665123547000,69,1665123556865
1665123427000,59,1665123437069
1665123307000,66,1665123316776
1665123187000,60,1665123196856
1665123067000,67,1665123076605
1665122947000,60,1665122956495
1665122827000,65,1665122837363
1665122707000,66,1665122716767
1665122587000,75,1665122596904
1665122467000,64,1665122476586
1665122347000,70,1665122356481
1665122227000,82,1665122237441
1665122107000,69,1665122116461
1665121987000,45,1665121996760
1665121867000,72,1665121876766
1665121747000,80,1665121756778
1665121627000,49,1665121637090
1665121507000,78,1665121516467
1665121387000,67,1665121396815
1665121267000,74,1665121276740
1665121147000,71,1665121156954
1665121027000,81,1665121036173
1665120907000,77,1665120916481
1665120787000,93,1665120796385
1665120667000,78,1665120676657
1665120547000,69,1665120555867
1665120427000,85,1665120436229
1665120307000,69,1665120316406
1665120187000,73,1665120196376
1665120067000,75,1665120076681
1665119947000,71,1665119956396
1665119827000,84,1665119837291
1665119707000,62,1665119716773
1665119587000,82,1665119596759
1665119467000,56,1665119476707
1665119347000,68,1665119358051
1665119227000,74,1665119236447
1665119107000,80,1665119116694
1665118987000,79,1665118996540
1665118867000,71,1665118876459
1665118747000,65,1665118756351
1665118627000,71,1665118637281
1665118507000,73,1665118516651
1665118387000,68,1665118395797
1665118267000,78,1665118276436
1665118147000,71,1665118156356
1665118027000,60,1665118036900
1665117907000,55,1665117916728
1665117787000,74,1665117796603
1665117667000,82,1665117676342
1665117547000,67,1665117555818
1665117427000,88,1665117436920
1665117307000,74,1665117316312
1665117187000,82,1665117196417
1665117067000,56,1665117076600
1665116947000,73,1665116956312
1665116827000,91,1665116836991
